id,activity
0,"разложите по полочкам одежду, которую вы не носите"
1,составьте новый плейлист
2,организуйте свое пространство
3,послушайте подкаст
4,обновите свое резюме
5,изучите новый язык
6,зайдите на pinterest
7,прогуляйтесь
8,создайте доску объявлений
9,ведите дневник
10,узнайте о финансах
11,почитайте книгу
12,нарисуйте что-нибудь на бумаге
13,практикуйте благодарность
14,займитесь йогой
15,избавьте свой телефон от ненужного хлама
16,заведите блог
17,испеките торт
18,проверьте свою электронную почту
19,составьте список необходимых вещей
20,наведите порядок в ящике стола
21,приготовьте что-нибудь новенькое
22,сделайте ремонт в своей комнате
23,почистите кисти для макияжа
24,избавьтесь от беспорядка в макияже
25,приобретите новый навык
26,попробуйте новый макияж
27,создайте новые наряды
28,систематизируйте свои фотографии
29,заведите канал на YouTube
30,занимайтесь спортом
31,заведите журнал с краткими комментариями
32,практикуйте медитацию
33,пройдите онлайн-тест
34,почистите свою электронику
35,составьте план на пять лет
36,начните бесплатный курс
37,пообщайтесь с другом
38,делайте покупки онлайн
39,работайте над своей лентой в Instagram
40,открывайте для себя новую музыку
41,попробуйте новую маску для лица
42,побалуйте себя
43,сходите на свидание
44,создайте список желаний
45,опробуйте новые прически
46,позвони близкому
47,приготовьте свои собственные средства для ванны
48,собери пазл
49,распланируй свою неделю
50,lostgamer.io
51,linux commands
52,ci/cd
